Position: {'timestamp': '2020-04-30 02:35:30.528530', 'route': 'Express1', 'vehicle': 'Bus11', 'stopNumber': 1, 'numStops': 4, 'timeBetweenStops': 2, 'trafficConditions': 'Normal', 'fillInRatio': 73}
Accident: {'timestamp': '2020-04-30 02:35:30.528530', 'route': 'Express1', 'vehicle': 'Bus11', 'stopNumber': 1}
Position: {'timestamp': '2020-04-30 02:35:30.685152', 'route': 'Express1', 'vehicle': 'Bus12', 'stopNumber': 1, 'numStops': 4, 'timeBetweenStops': 2, 'trafficConditions': 'Normal', 'fillInRatio': 36}
Position: {'timestamp': '2020-04-30 02:35:30.842708', 'route': 'Express1', 'vehicle': 'Bus13', 'stopNumber': 1, 'numStops': 4, 'timeBetweenStops': 2, 'trafficConditions': 'Normal', 'fillInRatio': 85}
Position: {'timestamp': '2020-04-30 02:35:31.251606', 'route': 'Express2', 'vehicle': 'Bus21', 'stopNumber': 1, 'numStops': 6, 'timeBetweenStops': 3, 'trafficConditions': 'Light', 'fillInRatio': 95}
Position: {'timestamp': '2020-04-30 02:35:32.017935', 'route': 'Express1', 'vehicle': 'Bus11', 'stopNumber': 2, 'numStops': 4, 'timeBetweenStops': 2, 'trafficConditions': 'Light', 'fillInRatio': 81}
Position: {'timestamp': '2020-04-30 02:35:32.143549', 'route': 'Express2', 'vehicle': 'Bus22', 'stopNumber': 1, 'numStops': 6, 'timeBetweenStops': 3, 'trafficConditions': 'Normal', 'fillInRatio': 57}
Position: {'timestamp': '2020-04-30 02:35:32.691084', 'route': 'Express1', 'vehicle': 'Bus12', 'stopNumber': 2, 'numStops': 4, 'timeBetweenStops': 2, 'trafficConditions': 'Normal', 'fillInRatio': 33}
Position: {'timestamp': '2020-04-30 02:35:32.848212', 'route': 'Express1', 'vehicle': 'Bus13', 'stopNumber': 2, 'numStops': 4, 'timeBetweenStops': 2, 'trafficConditions': 'Normal', 'fillInRatio': 38}
Position: {'timestamp': '2020-04-30 02:35:33.802175', 'route': 'Express2', 'vehicle': 'Bus23', 'stopNumber': 1, 'numStops': 6, 'timeBetweenStops': 3, 'trafficConditions': 'Heavy', 'fillInRatio': 64}
Position: {'timestamp': '2020-04-30 02:35:34.023091', 'route': 'Express1', 'vehicle': 'Bus11', 'stopNumber': 3, 'numStops': 4, 'timeBetweenStops': 2, 'trafficConditions': 'Normal', 'fillInRatio': 62}
